archivo,fecha_hora,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
p09_fila_059.html,2025-06-20 18:55:00,7,8,11,13,15,19,22,27,40,45,47,48,49,67,70,72,73,77,82,90
p09_fila_058.html,2025-06-20 19:00:00,10,11,13,16,22,26,32,33,46,50,55,57,60,61,64,72,74,80,81,83
p09_fila_057.html,2025-06-20 19:05:00,3,9,10,12,22,28,36,37,39,41,44,47,50,56,57,59,64,70,74,88
p09_fila_056.html,2025-06-20 19:10:00,5,7,11,14,25,29,30,32,36,37,40,42,46,50,51,54,64,65,69,86
p09_fila_055.html,2025-06-20 19:15:00,1,13,18,19,30,31,33,38,43,45,47,52,53,55,66,68,74,83,85,88
p09_fila_054.html,2025-06-20 19:20:00,2,5,13,15,16,21,32,34,43,51,53,55,60,61,64,67,72,80,82,87
p09_fila_053.html,2025-06-20 19:25:00,1,2,9,12,16,30,34,45,47,62,63,65,68,69,75,80,82,85,87,89
p09_fila_052.html,2025-06-20 19:30:00,10,19,22,27,28,30,40,48,51,53,54,60,66,69,72,73,76,77,84,86
p09_fila_051.html,2025-06-20 19:35:00,2,13,14,15,16,20,24,25,28,44,54,55,58,59,61,63,72,79,80,86
p09_fila_050.html,2025-06-20 19:40:00,3,4,6,11,14,16,20,25,30,34,35,38,60,62,64,65,67,69,71,88
p09_fila_049.html,2025-06-20 19:45:00,15,27,30,33,39,40,46,50,54,56,57,59,61,62,64,68,70,76,87,89
p09_fila_048.html,2025-06-20 19:50:00,1,10,11,14,15,24,26,41,42,49,51,52,56,62,63,65,66,71,73,82
p09_fila_047.html,2025-06-20 19:55:00,7,9,10,11,14,16,25,34,35,47,48,50,51,58,60,61,69,71,81,83
p09_fila_046.html,2025-06-20 20:00:00,7,15,18,29,30,37,38,40,42,44,53,58,59,65,73,74,78,82,85,86
p09_fila_045.html,2025-06-20 20:05:00,2,13,24,25,33,39,42,45,51,53,55,57,65,69,71,73,74,77,84,86
p09_fila_044.html,2025-06-20 20:10:00,1,10,21,25,31,34,36,41,42,43,50,53,57,68,72,81,84,87,88,89
p09_fila_043.html,2025-06-20 20:15:00,3,4,9,11,14,23,28,32,33,40,46,61,62,67,69,71,72,80,87,88
p09_fila_042.html,2025-06-20 20:20:00,8,9,19,22,23,25,31,35,46,47,49,57,58,59,62,72,76,77,86,90
p09_fila_041.html,2025-06-20 20:25:00,1,8,22,28,32,33,35,38,48,49,50,52,54,55,58,64,67,68,69,76
p09_fila_040.html,2025-06-20 20:30:00,4,8,10,12,14,31,42,50,51,53,54,61,66,67,68,77,80,81,82,87
p09_fila_039.html,2025-06-20 20:35:00,3,9,10,16,18,20,33,36,42,43,49,50,53,55,57,62,68,69,79,83
p09_fila_038.html,2025-06-20 20:40:00,5,8,14,16,31,36,39,40,43,52,54,55,57,59,72,73,82,84,87,88
p09_fila_037.html,2025-06-20 20:45:00,5,8,18,23,25,27,32,38,40,51,56,62,67,68,69,70,76,84,85,87
p09_fila_036.html,2025-06-20 20:50:00,1,4,5,7,9,10,14,17,26,32,34,37,46,48,51,57,63,73,74,81
p09_fila_035.html,2025-06-20 20:55:00,2,3,5,15,23,26,43,50,53,62,66,70,74,78,82,85,86,87,89,90
p09_fila_034.html,2025-06-20 21:00:00,8,9,11,32,35,43,48,53,59,61,62,65,68,69,72,74,75,78,80,84
p09_fila_033.html,2025-06-20 21:05:00,3,14,22,31,32,33,34,38,41,43,45,47,48,52,56,65,67,75,76,86
p09_fila_032.html,2025-06-20 21:10:00,2,3,5,8,15,24,29,33,48,49,51,58,60,63,69,70,76,80,81,90
p09_fila_031.html,2025-06-20 21:15:00,5,7,9,13,19,20,24,27,32,34,40,49,52,55,61,68,75,77,79,89
p09_fila_030.html,2025-06-20 21:20:00,6,12,15,22,23,24,26,32,34,38,41,48,67,69,71,73,75,78,87,90
p09_fila_029.html,2025-06-20 21:25:00,5,10,13,20,32,34,43,45,46,47,48,53,58,59,60,65,68,86,88,89
p09_fila_028.html,2025-06-20 21:30:00,1,7,23,24,30,34,43,44,52,53,54,58,59,61,64,71,73,76,83,84
p09_fila_027.html,2025-06-20 21:35:00,13,21,27,32,34,37,38,42,44,46,47,52,61,66,74,77,79,83,85,89
p09_fila_026.html,2025-06-20 21:40:00,4,5,8,9,12,15,17,34,36,38,40,46,51,52,53,54,56,59,60,79
p09_fila_025.html,2025-06-20 21:45:00,3,10,20,22,27,31,36,40,42,45,53,58,62,63,66,68,73,74,75,77
p09_fila_024.html,2025-06-20 21:50:00,2,3,6,7,17,19,25,28,30,35,47,52,69,72,79,80,81,86,89,90
p09_fila_023.html,2025-06-20 21:55:00,2,4,5,9,10,11,17,27,43,48,56,60,61,62,63,64,74,76,79,84
p09_fila_022.html,2025-06-20 22:00:00,8,10,15,19,23,24,31,34,43,45,46,47,52,54,56,57,65,69,71,89
p09_fila_021.html,2025-06-20 22:05:00,3,4,8,10,13,20,21,26,30,31,34,35,36,40,45,46,56,78,82,90
p09_fila_020.html,2025-06-20 22:10:00,3,6,10,17,24,25,27,43,52,55,60,63,66,67,73,77,79,84,85,88
p09_fila_019.html,2025-06-20 22:15:00,1,2,12,20,22,26,33,34,35,41,46,49,51,55,61,69,70,74,75,84
p09_fila_018.html,2025-06-20 22:20:00,2,8,12,13,14,17,19,22,25,27,28,35,38,42,43,53,60,64,81,90
p09_fila_017.html,2025-06-20 22:25:00,6,10,12,14,17,19,21,29,39,40,41,48,49,52,55,67,68,70,77,82
p09_fila_016.html,2025-06-20 22:30:00,2,9,10,13,14,22,28,33,38,41,47,49,50,51,53,57,60,61,62,63
p09_fila_015.html,2025-06-20 22:35:00,2,3,4,6,9,17,25,33,34,40,45,47,50,63,64,67,77,78,85,90
p09_fila_014.html,2025-06-20 22:40:00,11,16,17,22,23,26,29,33,39,48,53,54,57,58,61,69,71,76,77,83
p09_fila_013.html,2025-06-20 22:45:00,2,5,11,24,25,32,34,39,42,46,49,54,63,64,65,73,75,79,83,88
p09_fila_012.html,2025-06-20 22:50:00,1,9,11,12,13,16,25,29,33,40,42,47,53,54,55,62,66,67,73,84
p09_fila_011.html,2025-06-20 22:55:00,2,10,11,12,17,21,23,25,40,42,45,47,51,52,60,62,65,73,75,82
p09_fila_010.html,2025-06-20 23:00:00,2,4,8,13,26,30,36,41,46,53,58,63,66,71,72,74,76,79,85,90
p09_fila_009.html,2025-06-20 23:05:00,2,7,13,16,18,22,38,40,46,55,67,72,73,74,76,77,81,84,86,88
p09_fila_008.html,2025-06-20 23:10:00,2,4,20,25,26,30,31,34,39,42,50,52,61,67,71,72,78,81,86,89
p09_fila_007.html,2025-06-20 23:15:00,6,12,16,17,20,22,28,29,31,48,52,53,55,57,59,60,73,75,83,90
p09_fila_006.html,2025-06-20 23:20:00,1,3,4,9,11,26,31,35,44,55,57,60,62,63,73,75,80,81,85,86
p09_fila_005.html,2025-06-20 23:25:00,5,6,9,13,20,21,23,24,36,45,52,53,73,75,77,78,82,84,86,89
p09_fila_004.html,2025-06-20 23:30:00,2,6,9,10,12,13,17,21,30,31,45,50,52,59,64,68,69,71,89,90
p09_fila_003.html,2025-06-20 23:35:00,1,4,6,9,10,14,19,20,23,45,49,52,57,58,68,77,81,82,83,87
p09_fila_002.html,2025-06-20 23:40:00,4,12,13,16,18,22,30,36,37,42,51,53,56,62,65,67,70,77,82,84
p09_fila_001.html,2025-06-20 23:45:00,2,8,19,24,25,27,30,33,39,41,42,46,47,48,49,58,64,69,76,82
p09_fila_000.html,2025-06-20 23:50:00,1,4,11,23,33,36,38,42,43,45,51,54,55,65,67,78,84,85,88,90
p08_fila_099.html,2025-06-20 23:55:00,2,7,9,10,14,23,24,31,33,58,59,60,66,69,73,74,78,84,87,88
p08_fila_098.html,2025-06-21 00:00:00,1,3,8,10,12,16,19,20,23,25,36,38,47,59,65,67,76,79,86,87
p08_fila_097.html,2025-06-21 00:05:00,3,6,8,14,17,22,26,31,34,40,43,44,55,57,63,67,73,75,80,87
p08_fila_096.html,2025-06-21 00:10:00,3,8,11,12,19,20,23,27,40,46,52,53,57,58,64,77,81,82,86,89
p08_fila_095.html,2025-06-21 00:15:00,10,11,29,32,39,40,42,43,50,56,59,68,73,75,77,82,83,84,85,88
p08_fila_094.html,2025-06-21 00:20:00,7,9,10,16,17,19,21,22,23,36,37,50,58,60,64,71,73,84,85,87
p08_fila_093.html,2025-06-21 00:25:00,7,12,25,26,29,32,36,46,49,50,59,62,63,75,76,77,82,84,85,86
p08_fila_092.html,2025-06-21 00:30:00,5,11,12,13,25,34,35,36,38,41,47,48,55,68,74,75,83,85,87,89
p08_fila_091.html,2025-06-21 00:35:00,10,12,16,18,20,23,24,25,27,43,46,49,61,63,64,68,70,87,88,90
p08_fila_090.html,2025-06-21 00:40:00,7,11,13,18,27,42,44,57,58,59,60,64,65,67,70,75,84,86,87,88
p08_fila_089.html,2025-06-21 00:45:00,3,6,8,9,26,27,38,41,42,50,52,57,59,65,69,74,75,76,78,84
p08_fila_088.html,2025-06-21 00:50:00,2,5,6,10,12,30,35,39,40,41,45,49,54,61,63,71,72,74,87,88
p08_fila_087.html,2025-06-21 00:55:00,4,12,17,22,24,28,31,45,49,51,59,70,71,74,75,77,79,80,83,84
p08_fila_086.html,2025-06-21 01:00:00,8,12,13,14,17,36,45,46,48,51,55,58,60,70,74,75,78,79,84,90
p08_fila_085.html,2025-06-21 01:05:00,3,5,10,21,26,28,36,37,39,41,50,55,57,58,72,77,79,85,86,90
p08_fila_084.html,2025-06-21 01:10:00,1,3,9,12,14,17,24,26,29,30,56,61,65,67,69,70,71,74,81,88
p08_fila_083.html,2025-06-21 01:15:00,2,8,11,13,17,18,22,23,34,35,42,43,45,48,57,59,63,75,84,88
p08_fila_082.html,2025-06-21 01:20:00,3,7,11,16,27,33,35,37,40,42,46,49,51,53,64,76,80,83,84,88
